"SAMPLE_ID","NOMINAL_TAXON","LAT","LON","MORPHOLOGICAL_TAXON","OPERATIONAL_TAXON","INCIPIENT_TAXON","THRESHOLD_TAXON","CYTB","SQCL","ddRAD","ddRAD_SRA","sqcl_SRA","CYTB_genbank"
"WAMR_120737_Ct_duri","Ctenotus_duricola",-20.4,118.516667,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505316.1"
"WAMR_121997_Ct_duri","Ctenotus_pallasotus",-22.917,119.2167,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505317.1"
"WAMR_125030_Ct_duri","Ctenotus_pallasotus",-22.721,118.990556,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505318.1"
"WAMR_127794_Ct_duri","Ctenotus_pallasotus",-22.7,117.783333,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505319.1"
"WAMR_131006_Ct_duri","Ctenotus_pallasotus",-21.138,117.1158,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505320.1"
"WAMR_131755_Ct_duri","Ctenotus_pallasotus",-22.911,118.6406,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505321.1"
"WAMR_135361_Ct_duri","Ctenotus_pallasotus",-22.311,117.3219,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505322.1"
"WAMR_139391_Ct_duri","Ctenotus_duricola",-21.204,120.4731,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V1","Ctenotus_sp41",TRUE,TRUE,TRUE,"SRS2115888","SRR31065856","KJ505323.1"
"WAMR_139394_Ct_duri","Ctenotus_duricola",-21.351,120.4469,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V1","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115887",NA,"KJ505324.1"
"WAMR_139423_Ct_duri","Ctenotus_pallasotus",-21.373,115.3733,"Ctenotus_duricola","Ctenotus_pallasotus","Ctenotus_pallasotus_V2","Ctenotus_sp42",TRUE,FALSE,TRUE,"SRS2115884",NA,"KJ505325.1"
"WAMR_139566_Ct_duri","Ctenotus_pallasotus",-22.776,114.3042,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505326.1"
"WAMR_140717_Ct_duri","Ctenotus_duricola",-22.674,119.416111,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505327.1"
"WAMR_141296_Ct_duri","Ctenotus_pallasotus",-21.066,116.1492,"Ctenotus_duricola","Ctenotus_pallasotus","Ctenotus_pallasotus_V2","Ctenotus_sp42",TRUE,FALSE,TRUE,"SRS2115876",NA,"KJ505328.1"
"WAMR_145257_Ct_duri","Ctenotus_pallasotus",-22.795,117.790833,"Ctenotus_duricola","Ctenotus_pallasotus",NA,"Ctenotus_sp42",TRUE,FALSE,FALSE,NA,NA,"KJ505329.1"
"WAMR_145535_Ct_duri","Ctenotus_duricola",-20.91,118.68,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505330.1"
"WAMR_145630_Ct_duri","Ctenotus_duricola",-20.78,118.64,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V1","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115870",NA,"KJ505331.1"
"WAMR_145645_Ct_duri","Ctenotus_duricola",-22.34,119,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505332.1"
"WAMR_146660_Ct_duri","Ctenotus_duricola",-21.325,118.8633,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505334.1"
"WAMR_152697_Ct_duri","Ctenotus_duricola",-22.083,118.6833,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505335.1"
"WAMR_154261_Ct_duri","Ctenotus_duricola",-22.068,118.9953,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505336.1"
"WAMR_154565_Ct_duri","Ctenotus_duricola",-23.379,120.105278,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505337.1"
"WAMR_154573_Ct_duri","Ctenotus_duricola",-23.377,120.1103,"Ctenotus_duricola","Ctenotus_duricola",NA,"Ctenotus_sp41",TRUE,FALSE,FALSE,NA,NA,"KJ505338.1"
"WAMR_157067_Ct_duri","Ctenotus_duricola",-22.837,119.3972,"Ctenotus_duricola","Ctenotus_duricola","Ctenotus_duricola_V2","Ctenotus_sp41",TRUE,FALSE,TRUE,"SRS2115852",NA,"KJ505339.1"
