"SAMPLE_ID","NOMINAL_TAXON","LAT","LON","MORPHOLOGICAL_TAXON","OPERATIONAL_TAXON","INCIPIENT_TAXON","THRESHOLD_TAXON","CYTB","SQCL","ddRAD","ddRAD_SRA","sqcl_SRA","CYTB_genbank"
"SAMR_42036_Ct_dux","Ctenotus_dux",-26.284,130.3972,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505888.1"
"SAMR_43843_Ct_dux","Ctenotus_dux",-28.5,129.0333,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505894.1"
"SAMR_44387_Ct_dux","Ctenotus_dux",-26.247,130.1122,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115485",NA,"KJ505890.1"
"SAMR_45608_Ct_dux","Ctenotus_dux",-27.043,131.2933,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115475",NA,"KJ505893.1"
"SAMR_46165_Ct_dux","Ctenotus_dux",-26.517,129.2019,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115473",NA,"KJ505891.1"
"SAMR_48588_Ct_dux","Ctenotus_dux",-27.374,130.3622,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115466",NA,"PQ522808"
"SAMR_48756_Ct_dux","Ctenotus_dux",-27.019,129.8503,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505892.1"
"SAMR_56476_Ct_dux","Ctenotus_dux",-27.077,129.7728,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115427",NA,"KJ505895.1"
"SAMR_62031_Ct_dux","Ctenotus_dux",-24.6286,128.7556,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115419",NA,"KJ505900.1"
"SAMR_62062_Ct_dux","Ctenotus_dux",-24.7072,128.7603,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505899.1"
"SAMR_62083_Ct_dux","Ctenotus_dux",-24.5594,128.7097,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505897.1"
"SAMR_62262_Ct_dux","Ctenotus_dux",-28.499167,129.041389,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505901.1"
